id_oportunidad,fecha_creacion,cliente,industria,region,origen_lead,vendedor,etapa_actual,valor_usd,estado,fecha_cierre,dias_ciclo,dias_en_etapa_actual
OPP-1001,2025-01-19,Cliente_252,Salud,Sur,WhatsApp,Felipe Casas,Calificación,4177.0,Perdida,2025-02-26,77,10
OPP-1002,2025-01-20,Cliente_355,Retail mayorista,Norte,WhatsApp,Laura Cifuentes,Calificación,3164.0,Perdida,2025-02-21,65,5
OPP-1003,2025-01-01,Cliente_113,Retail mayorista,Oriente,WhatsApp,Sergio Ibáñez,Prospección,5522.0,Perdida,2025-02-07,75,20
OPP-1004,2025-01-11,Cliente_172,Servicios financieros,Norte,Inbound digital,Andrés Pardo,Calificación,6564.0,Perdida,2025-02-16,73,21
OPP-1005,2025-01-20,Cliente_270,Retail mayorista,Centro,WhatsApp,Camila Restrepo,Propuesta,74035.0,Abierta,,,10
OPP-1006,2025-01-12,Cliente_345,Salud,Sur,Evento / feria,Felipe Casas,Calificación,19508.0,Perdida,2025-02-20,79,9
OPP-1007,2025-01-16,Cliente_220,Retail mayorista,Norte,WhatsApp,Andrés Pardo,Prospección,18786.0,Perdida,2025-02-15,61,5
OPP-1008,2025-01-10,Cliente_320,Salud,Norte,Outbound,Andrés Pardo,Calificación,7101.0,Perdida,2025-02-23,88,16
OPP-1009,2025-01-21,Cliente_346,Retail mayorista,Centro,Referido,Julián Ospina,Prospección,25449.0,Perdida,2025-02-25,71,8
OPP-1010,2025-01-07,Cliente_187,Tecnología,Sur,WhatsApp,Diana Rueda,Calificación,9974.0,Perdida,2025-02-01,50,22
OPP-1011,2025-01-19,Cliente_204,Tecnología,Centro,Outbound,Camila Restrepo,Propuesta,41218.0,Perdida,2025-04-07,78,24
OPP-1012,2025-01-13,Cliente_212,Manufactura,Sur,Inbound digital,Felipe Casas,Prospección,7213.0,Perdida,2025-02-16,69,23
OPP-1013,2025-01-10,Cliente_172,Tecnología,Oriente,Referido,Marcela Quintero,Prospección,1965.0,Perdida,2025-02-10,62,9
OPP-1014,2025-01-26,Cliente_317,Retail mayorista,Oriente,Referido,Marcela Quintero,Prospección,96735.0,Perdida,2025-02-26,63,15
OPP-1015,2025-01-09,Cliente_143,Logística,Norte,Inbound digital,Andrés Pardo,Prospección,80162.0,Perdida,2025-02-12,68,6
OPP-1016,2025-01-24,Cliente_243,Retail mayorista,Norte,WhatsApp,Andrés Pardo,Propuesta,8070.0,Perdida,2025-03-17,52,8
OPP-1017,2025-01-05,Cliente_222,Tecnología,Norte,Referido,Laura Cifuentes,Prospección,3156.0,Perdida,2025-02-16,84,11
OPP-1018,2025-01-11,Cliente_217,Servicios financieros,Norte,WhatsApp,Andrés Pardo,Negociación,16734.0,Perdida,2025-03-14,62,24
OPP-1019,2025-01-19,Cliente_247,Salud,Sur,WhatsApp,Felipe Casas,Calificación,2322.0,Perdida,2025-02-24,72,9
OPP-1020,2025-01-09,Cliente_119,Manufactura,Sur,Referido,Felipe Casas,Prospección,9260.0,Perdida,2025-02-06,56,24
OPP-1021,2025-01-07,Cliente_273,Logística,Sur,Inbound digital,Diana Rueda,Negociación,3207.0,Abierta,,,18
OPP-1022,2025-01-10,Cliente_146,Tecnología,Centro,WhatsApp,Julián Ospina,Prospección,8230.0,Perdida,2025-02-13,69,12
OPP-1023,2025-01-05,Cliente_212,Logística,Sur,Inbound digital,Diana Rueda,Prospección,17483.0,Perdida,2025-01-31,52,12
OPP-1024,2025-01-27,Cliente_267,Manufactura,Oriente,Referido,Sergio Ibáñez,Calificación,10587.0,Perdida,2025-03-09,82,24
OPP-1025,2025-01-27,Cliente_331,Salud,Sur,WhatsApp,Diana Rueda,Prospección,15822.0,Perdida,2025-02-26,60,24
OPP-1026,2025-01-01,Cliente_301,Retail mayorista,Sur,Referido,Diana Rueda,Propuesta,11493.0,Abierta,,,18
OPP-1027,2025-01-10,Cliente_353,Servicios financieros,Centro,Outbound,Camila Restrepo,Propuesta,8140.0,Perdida,2025-03-30,79,8
OPP-1028,2025-01-04,Cliente_378,Logística,Centro,Outbound,Julián Ospina,Negociación,971.0,Abierta,,,14
OPP-1029,2025-01-06,Cliente_201,Servicios financieros,Sur,WhatsApp,Diana Rueda,Calificación,10396.0,Perdida,2025-02-13,76,20
OPP-1030,2025-01-24,Cliente_158,Logística,Oriente,Inbound digital,Marcela Quintero,Prospección,4995.0,Perdida,2025-03-01,73,19
OPP-1031,2025-01-14,Cliente_268,Manufactura,Oriente,Referido,Marcela Quintero,Calificación,14808.0,Perdida,2025-02-17,68,10
OPP-1032,2025-01-02,Cliente_169,Retail mayorista,Oriente,Cliente actual,Sergio Ibáñez,Prospección,74878.0,Perdida,2025-02-02,63,22
OPP-1033,2025-01-04,Cliente_356,Logística,Centro,WhatsApp,Julián Ospina,Calificación,11583.0,Perdida,2025-01-31,54,18
OPP-1034,2025-01-17,Cliente_322,Logística,Sur,Inbound digital,Diana Rueda,Calificación,17112.0,Perdida,2025-02-14,56,16
OPP-1035,2025-01-01,Cliente_126,Manufactura,Sur,WhatsApp,Diana Rueda,Prospección,8625.0,Perdida,2025-01-29,57,11
OPP-1036,2025-01-06,Cliente_140,Salud,Sur,WhatsApp,Felipe Casas,Prospección,6844.0,Perdida,2025-02-17,84,6
OPP-1037,2025-01-17,Cliente_135,Salud,Oriente,Referido,Sergio Ibáñez,Prospección,3344.0,Perdida,2025-02-27,83,5
