mes,vendedor,region,meta_usd,ventas_usd,cumplimiento_pct,oportunidades_ganadas
2025-01,Laura Cifuentes,Norte,62430.0,69384.4,111.1,4
2025-01,Andrés Pardo,Norte,41441.0,39070.6,94.3,5
2025-01,Camila Restrepo,Centro,68923.0,72444.3,105.1,4
2025-01,Julián Ospina,Centro,57820.0,54584.4,94.4,5
2025-01,Diana Rueda,Sur,65607.0,59658.0,90.9,5
2025-01,Felipe Casas,Sur,55445.0,50843.9,91.7,3
2025-01,Marcela Quintero,Oriente,55458.0,55695.2,100.4,2
2025-01,Sergio Ibáñez,Oriente,63896.0,68108.1,106.6,5
2025-02,Laura Cifuentes,Norte,65401.0,57617.3,88.1,4
2025-02,Andrés Pardo,Norte,74006.0,65695.4,88.8,4
2025-02,Camila Restrepo,Centro,63375.0,56950.3,89.9,3
2025-02,Julián Ospina,Centro,62396.0,53212.5,85.3,2
2025-02,Diana Rueda,Sur,57756.0,57647.0,99.8,5
2025-02,Felipe Casas,Sur,67533.0,60364.5,89.4,3
2025-02,Marcela Quintero,Oriente,61210.0,46156.4,75.4,0
2025-02,Sergio Ibáñez,Oriente,50717.0,46689.9,92.1,4
2025-03,Laura Cifuentes,Norte,75433.0,79340.6,105.2,4
2025-03,Andrés Pardo,Norte,53199.0,50298.4,94.5,2
2025-03,Camila Restrepo,Centro,63269.0,64205.0,101.5,3
2025-03,Julián Ospina,Centro,65179.0,61555.6,94.4,6
2025-03,Diana Rueda,Sur,58790.0,55039.9,93.6,3
2025-03,Felipe Casas,Sur,61465.0,68200.6,111.0,2
2025-03,Marcela Quintero,Oriente,47176.0,45002.7,95.4,2
2025-03,Sergio Ibáñez,Oriente,59715.0,50929.0,85.3,2
2025-04,Laura Cifuentes,Norte,71437.0,60628.5,84.9,3
2025-04,Andrés Pardo,Norte,50136.0,43921.3,87.6,3
2025-04,Camila Restrepo,Centro,72635.0,65257.3,89.8,1
2025-04,Julián Ospina,Centro,60353.0,55484.8,91.9,3
2025-04,Diana Rueda,Sur,66811.0,60490.5,90.5,3
2025-04,Felipe Casas,Sur,69785.0,71664.0,102.7,4
2025-04,Marcela Quintero,Oriente,52054.0,51855.8,99.6,2
2025-04,Sergio Ibáñez,Oriente,47183.0,37556.5,79.6,4
2025-05,Laura Cifuentes,Norte,56046.0,55198.3,98.5,4
2025-05,Andrés Pardo,Norte,63624.0,65778.3,103.4,4
2025-05,Camila Restrepo,Centro,66335.0,60020.2,90.5,5
2025-05,Julián Ospina,Centro,42633.0,41968.1,98.4,6
2025-05,Diana Rueda,Sur,68147.0,69238.1,101.6,3
2025-05,Felipe Casas,Sur,60165.0,68185.2,113.3,3
2025-05,Marcela Quintero,Oriente,54428.0,52459.5,96.4,3
2025-05,Sergio Ibáñez,Oriente,67912.0,65393.0,96.3,3
2025-06,Laura Cifuentes,Norte,37942.0,34466.5,90.8,1
2025-06,Andrés Pardo,Norte,57802.0,58072.4,100.5,4
2025-06,Camila Restrepo,Centro,72420.0,65428.3,90.3,3
2025-06,Julián Ospina,Centro,58620.0,48963.1,83.5,5
2025-06,Diana Rueda,Sur,52547.0,48133.0,91.6,5
2025-06,Felipe Casas,Sur,63931.0,54479.5,85.2,3
2025-06,Marcela Quintero,Oriente,50997.0,39588.7,77.6,4
2025-06,Sergio Ibáñez,Oriente,62548.0,57048.3,91.2,2
2025-07,Laura Cifuentes,Norte,51607.0,43245.1,83.8,5
2025-07,Andrés Pardo,Norte,74076.0,64290.6,86.8,4
2025-07,Camila Restrepo,Centro,62755.0,57696.9,91.9,4
2025-07,Julián Ospina,Centro,66117.0,56037.5,84.8,3
2025-07,Diana Rueda,Sur,71311.0,64532.8,90.5,3
2025-07,Felipe Casas,Sur,68630.0,67977.2,99.0,3
2025-07,Marcela Quintero,Oriente,56907.0,52658.7,92.5,2
2025-07,Sergio Ibáñez,Oriente,50163.0,42275.2,84.3,4
2025-08,Laura Cifuentes,Norte,66418.0,64262.2,96.8,5
2025-08,Andrés Pardo,Norte,44671.0,42313.2,94.7,3
2025-08,Camila Restrepo,Centro,70105.0,66359.7,94.7,3
2025-08,Julián Ospina,Centro,65723.0,64879.4,98.7,4
2025-08,Diana Rueda,Sur,54104.0,50637.9,93.6,3
2025-08,Felipe Casas,Sur,64482.0,63478.1,98.4,2
2025-08,Marcela Quintero,Oriente,55928.0,55607.5,99.4,4
2025-08,Sergio Ibáñez,Oriente,65093.0,68693.2,105.5,4
2025-09,Laura Cifuentes,Norte,61680.0,55172.0,89.4,2
2025-09,Andrés Pardo,Norte,66319.0,63823.6,96.2,2
2025-09,Camila Restrepo,Centro,52081.0,45760.2,87.9,4
2025-09,Julián Ospina,Centro,59695.0,53640.1,89.9,3
2025-09,Diana Rueda,Sur,61183.0,58153.6,95.0,5
2025-09,Felipe Casas,Sur,62789.0,62470.0,99.5,4
2025-09,Marcela Quintero,Oriente,50843.0,54141.5,106.5,5
2025-09,Sergio Ibáñez,Oriente,65981.0,52122.7,79.0,3
2025-10,Laura Cifuentes,Norte,48152.0,47367.3,98.4,3
2025-10,Andrés Pardo,Norte,56602.0,58073.4,102.6,3
2025-10,Camila Restrepo,Centro,49288.0,42917.8,87.1,3
2025-10,Julián Ospina,Centro,58245.0,53307.3,91.5,3
2025-10,Diana Rueda,Sur,53558.0,49456.2,92.3,4
